timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,67613E+12;207;/get_method;200;OK;Lyubov_she 1-1;text;true;;188;151;3;3;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;207;0;102
1,67613E+12;200;/get_method;200;OK;Lyubov_she 1-2;text;true;;188;151;4;4;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;200;0;99
1,67613E+12;206;/get_method;200;OK;Lyubov_she 1-3;text;true;;188;151;5;5;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;206;0;101
1,67613E+12;250;/user_info_2;200;OK;Lyubov_she 1-1;text;true;;485;246;5;5;http://5.75.203.123:5005/user_info_2;250;0;130
1,67613E+12;208;/get_method;200;OK;Lyubov_she 1-4;text;true;;188;151;6;6;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;208;0;99
1,67613E+12;208;/user_info_2;200;OK;Lyubov_she 1-2;text;true;;485;246;6;6;http://5.75.203.123:5005/user_info_2;208;0;99
1,67613E+12;232;/get_method;200;OK;Lyubov_she 1-5;text;true;;188;151;7;7;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;232;0;107
1,67613E+12;234;/user_info_2;200;OK;Lyubov_she 1-3;text;true;;485;246;7;7;http://5.75.203.123:5005/user_info_2;233;0;101
1,67613E+12;252;/user_info_3;200;OK;Lyubov_she 1-1;text;true;;380;245;8;8;http://5.75.203.123:5005/user_info_3;252;0;109
1,67613E+12;212;/get_method;200;OK;Lyubov_she 1-6;text;true;;188;151;8;8;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;212;0;103
1,67613E+12;237;/user_info_3;200;OK;Lyubov_she 1-2;text;true;;380;245;8;8;http://5.75.203.123:5005/user_info_3;237;0;129
1,67613E+12;267;/user_info_2;200;OK;Lyubov_she 1-4;text;true;;485;246;8;8;http://5.75.203.123:5005/user_info_2;266;0;134
1,67613E+12;224;/get_method;200;OK;Lyubov_she 1-7;text;true;;188;151;9;9;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;224;0;112
1,67613E+12;253;/user_info_2;200;OK;Lyubov_she 1-5;text;true;;485;246;9;9;http://5.75.203.123:5005/user_info_2;253;0;112
1,67613E+12;245;/user_info_3;200;OK;Lyubov_she 1-3;text;true;;380;245;9;9;http://5.75.203.123:5005/user_info_3;245;0;134
1,67613E+12;224;/get_method;200;OK;Lyubov_she 1-8;text;true;;188;151;10;10;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;224;0;110
1,67613E+12;232;/object_info_1;200;OK;Lyubov_she 1-1;text;true;;245;162;10;10;http://5.75.203.123:5005/object_info_1?name=Nata&age=50&weight=70;231;0;126
1,67613E+12;245;/user_info_2;200;OK;Lyubov_she 1-6;text;true;;485;246;10;10;http://5.75.203.123:5005/user_info_2;245;0;127
1,67613E+12;303;/get_method;200;OK;Lyubov_she 1-9;text;true;;188;151;12;12;http://5.75.203.123:5005/get_method?name=Lyubov&age=32;303;0;109
1,67613E+12;280;/user_info_2;200;OK;Lyubov_she 1-7;text;true;;485;246;12;12;http://5.75.203.123:5005/user_info_2;280;0;122
1,67613E+12;219;/object_info_1;200;OK;Lyubov_she 1-3;text;true;;245;162;12;12;http://5.75.203.123:5005/object_info_1?name=Nata&age=50&weight=70;219;0;104
1,67613E+12;224;/user_info_3;200;OK;Lyubov_she 1-5;text;true;;380;245;12;12;http://5.75.203.123:5005/user_info_3;224;0;112
